sgRNA	Gene	D0R1	D0R2	IVR1	IVR2	XENOR1	XENOR2	XENOR3	XENOR4	XENOR5
ADORA3_308	ADORA3	1309	1558	430	259	614	3	0	9	2
SLC12A1_10081	SLC12A1	498	711	2540	1610	155	136	2419	1311	422
FTSJ3_3898	FTSJ3	26	34	399	106	1339	0	43	0	0
ARID4B_847	ARID4B	1115	1525	2139	1323	0	71	566	378	667
MAP1A_6483	MAP1A	347	466	392	176	0	0	15	1	0
CSF2RA_2564	CSF2RA	35	5	1125	919	6	0	0	5	9
TRPV1_11536	TRPV1	42	55	3669	1294	11	20785	103	154	33
MEPCE_6784	MEPCE	2007	2960	468	481	0	0	71	0	297
SUV39H1_10553	SUV39H1	3199	4224	551	538	791	214	0	43	3
GNRHR_4286	GNRHR	915	1115	893	451	0	701	0	2	0
CXCR4_2754	CXCR4	8	3	985	372	0	2055	30	1	9
YTHDF2_12379	YTHDF2	7226	9894	647	590	66	11	3	32	95
PRMT1_8712	PRMT1	1837	1530	699	234	12	0	0	0	3
NSUN2_7623	NSUN2	1031	686	898	391	1262	181	0	215	1
GABRG3_4076	GABRG3	53	101	1311	1137	0	732	345	33	23
AKR1D1_428	AKR1D1	37	5	3120	1762	1850	59	1	256	19
NOP2_7494	NOP2	144	94	441	64	24	0	0	3	74
AAVS0067_67	AAVS	1123	1387	320	274	13	9	0	1	1
CDY2A_2192	CDY2A	896	1161	2012	1693	1945	20	2950	79	66
HIPK4_4684	HIPK4	1734	1600	1929	1184	4	0	1157	3	3
YTHDC1_12262	YTHDC1	1567	1671	391	575	6	2	1	1	2
NOS2_7509	NOS2	20	105	283	258	0	13	0	0	1
SETD8_9904	SETD8	1167	1068	887	610	64	942	189	2	150
CCL2_1878	CCL2	724	694	1413	1547	0	188	73	29	47
PTGER4_8970	PTGER4	3	1	527	66	106	5	7	10	14
KDM4B_5998	KDM4B	4034	4052	1270	545	50	30	1	43	13
AR_726	AR	324	270	586	204	0	4	0	2535	0
GRIN3B_4380	GRIN3B	77	78	1607	988	8	25	163	55	13
SLC6A1_10237	SLC6A1	1359	1407	1324	1313	343	10099	31	4	17
TYW3_11708	TYW3	439	328	1716	741	15	33	3304	7	47
TADA1_10643	TADA1	980	1219	720	530	0	0	0	1	0
CARTPT_1810	CARTPT	22	2	666	628	379	0	10	1	1
KCNA1_5532	KCNA1	605	478	571	385	22	0	47	1	201
FTO_3832	FTO	1770	1616	528	666	93	128	2	6	452
RET_9196	RET	1622	1663	1068	752	13	1657	7	0	13
GABBR1_3924	GABBR1	4078	4667	34	41	0	0	0	0	1
AURKB_1020	AURKB	2044	2463	424	0	0	0	0	16	0
